route_no,stop_sequence,stop_name,latitude,longitude
252,7,Tata Institute,13.01565694,77.56289701
252,8,Yeshawanthapura TTMC,13.017420746122461,77.55707759428026
252,9,Govardhan Talkies,13.01856,77.5532
252,10,YPR RMC,13.02413089,77.54796652
252,11,MEI Guragunte Palya,13.02639399,77.54394798
252,12,Goragunte Palya,13.0286869,77.53990578
252,13,CMTI Goragunte Palya,13.03046443,77.53663904
252,14,SRS Jalahalli Cross,13.03422844,77.53034623
252,15,Peenya 1st stage,13.03541374,77.52633088
252,16,Jalahalli Cross,13.0384499487,77.5183223281
252,17,System Jalahalli Cross,13.0349750492869,77.5180530152307
252,18,TVS Cross Peenya 2nd Stage,13.0281588586524,77.5189786542219
252,19,Rolling Mill,13.0265658974519,77.5149225018528
252,20,NTTF,13.0242868792,77.5108279847
252,21,Brundavana Peenya 2nd Stage,13.0204510689,77.5082448497
252,22,Peenya 2nd stage 14th Cross,13.0163185392,77.5059616193
252,23,Rajagopalanagar Rajni Farms,13.0138224465065,77.5089186834865
252,24,Peenya 2nd stage,13.0107668722415,77.5067250900116
252A,1,Peenya 2nd stage,13.0110313068506,77.5068119553069
252A,2,Rajagopalanagar Rajni Farms,13.0139706843,77.5089234486
252A,3,Peenya 14th Cross,13.0170412268,77.5058460329
252A,4,Brundavana Peenya 2nd Stage,13.0202670023,77.5079948176
252A,5,NTTF,13.0249445233,77.5109549705
252A,6,Rolling Mill,13.0265822408254,77.5147200617649
252A,7,TVS Cross,13.0285953620956,77.5195686195263
252A,8,System Jalahalli Cross,13.0350020451929,77.5179111770754
252A,9,Jalahalli Cross,13.03997892,77.51863784
252A,10,Peenya 1st stage,13.03621356,77.52548776
252A,11,S R S Jalahalli Cross,13.03473989,77.53006188
252A,12,CMTI Goragunte Palya,13.0316378,77.53537182
252A,13,Goragunte Palya,13.02882709,77.54031091
252A,14,MEI Guragunte Palya,13.02654769,77.54441827
252A,15,YPR RMC,13.0247064,77.54766623
252A,16,Govardhan Talkies,13.01868,77.55338
252A,17,Yeshwanthpura TTMC,13.0177657,77.5567529
252A,18,Tata Institute,13.01568,77.56332
252A,19,Kendriya Vidyalaya CPRI,13.01482246,77.57485012
252A,20,Mekhri Circle,13.01463037,77.5846644
252A,21,TV Tower Munireddy palya,13.00917837,77.59123183
252A,22,Munireddy Palya,13.00669164,77.59285894
252A,23,Jayamahal,13.0018609297,77.5944668055
252A,24,Contonment Railway Station,12.99385097,77.59725653
252A,25,CSI Hospital,12.98983516,77.59938044
252A,26,Indian Express,12.98419508,77.59868865
252A,27,Shivajinagar Bus Station,12.98368012,77.6035693
252C,1,Kempegowda Bus Station,12.978062,77.572342
252C,2,Central,12.9899747663903,77.572098665973
252C,3,Malleshwaram Circle,12.9978901319732,77.5713099939793
252C,4,Malleshwaram 8th Cross,12.99966,77.57128
252C,5,Malleshwaram 15th Cross,13.005030714,77.5711547211
252C,6,Malleshwaram 18th Cross,13.0090816878,77.5710476004
252C,7,Tata Institute,13.01565694,77.56289701
252C,8,Yeshawanthapura TTMC,13.017420746122461,77.55707759428026
252C,9,Govardhan Talkies,13.01856,77.5532
252C,10,YPR RMC,13.02413089,77.54796652
252C,11,MEI Guragunte Palya,13.02639399,77.54394798
252C,12,Goragunte Palya,13.0286869,77.53990578
252C,13,CMTI Goragunte Palya,13.03046443,77.53663904
252C,14,SRS Jalahalli Cross,13.03422844,77.53034623
252C,15,Peenya 1st stage,13.03541374,77.52633088
252C,16,Jalahalli Cross,13.0384499487,77.5183223281
252C,17,System Jalahalli Cross,13.0349750492869,77.5180530152307
252C,18,TVS Cross Peenya 2nd Stage,13.0281588586524,77.5189786542219
252C,19,Rolling Mill,13.0265658974519,77.5149225018528
252C,20,NTTF,13.0242868792,77.5108279847
252C,21,Brundavana Peenya 2nd Stage,13.0204510689,77.5082448497
252C,22,Peenya 2nd stage 14th Cross,13.0163185392,77.5059616193
252C,23,Rajagopalanagar Rajni Farms,13.0138224465065,77.5089186834865
